Set,CN,Name,R,La,Artist
F12,8,Avacyn's Pilgrim,R,EN,Greg Staples
F12,9,Lingering Souls,R,EN,John Stanko
F12,10,Evolving Wilds,R,EN,Sam Burley
F12,11,Pillar of Flame,R,EN,Dave Kendall
F12,12,Gitaxian Probe,R,EN,Trevor Claxton
F13,1,Searing Spear,R,EN,Christopher Moeller
F13,2,Reliquary Tower,R,EN,Drew Baker
F13,3,Farseek,R,EN,Michael Komarck
F13,4,Call of the Conclave,R,EN,Anthony Palumbo
F13,5,Judge's Familiar,R,EN,Ryan Yee
F13,6,Izzet Charm,R,EN,Zoltan Boros
F13,7,Rakdos Cackler,R,EN,Dave Kendall
F13,8,Dimir Charm,R,EN,Zoltan Boros
F13,9,Experiment One,R,EN,Jack Wang
F13,10,Ghor-Clan Rampager,R,EN,Dave Kendall
F13,11,Grisly Salvage,R,EN,Maciej Kuciara
F13,12,Sin Collector,R,EN,Izzy
F14,1,Warleader's Helix,R,EN,Wesley Burt
F14,2,Elvish Mystic,R,EN,Winona Nelson
F14,3,Banisher Priest,R,EN,James Zapata
F14,4,Encroaching Wastes,R,EN,Richard Wright
F14,5,Tormented Hero,R,EN,Wesley Burt
F14,6,Dissolve,R,EN,Jeff Simpson
F14,7,Magma Spray,R,EN,Mathias Kollros
F14,8,Bile Blight,R,EN,Nils Hamm
F14,9,Banishing Light,R,EN,Wesley Burt
F14,10,Fanatic of Xenagos,R,EN,Zoltan Boros
F14,11,Brain Maggot,R,EN,Dave Kendall
F14,12,Stoke the Flames,R,EN,Mathias Kollros
F15,2,Disdainful Stroke,R,EN,Svetlin Velinov
F15,3,Hordeling Outburst,R,EN,Zoltan Boros
F15,4,Suspension Field,R,EN,Seb McKinnon
F15,5,Abzan Beastmaster,R,EN,Scott Murphy
F15,6,Frost Walker,R,EN,Peter Mohrbacher
F15,7,Path to Exile,R,EN,Raf Sarmento
F15,8,Serum Visions,R,EN,Dan Murayama Scott
F15,9,Orator of Ojutai,R,EN,David Gaillet
F15,10,Ultimate Price,R,EN,Scott Murphy
F15,11,Roast,R,EN,Zoltan Boros
F15,12,Anticipate,R,EN,Volkan Baǵa
F16,1,Nissa's Pilgrimage,R,EN,Christine Choi
F16,2,Clash of Wills,R,EN,Anna Steinbauer
F16,3,Smash to Smithereens,R,EN,Darek Zabrocki
F16,4,Blighted Fen,R,EN,Jason Felix
F16,5,Goblin Warchief,R,EN,Mark Zug
F16,6,Sylvan Scrying,R,EN,Christine Choi
F16,7,Spatial Contortion,R,EN,Joseph Meehan
F16,8,Crumbling Vestige,R,EN,Jonas De Ro
F16,9,Flaying Tendrils,R,EN,Svetlin Velinov
F16,10,Rise from the Tides,R,EN,Lucas Graciano
F16,11,Fiery Temper,R,EN,Eric Deschamps
F16,12,Call the Bloodline,R,EN,Magali Villeneuve
F17,1,Noose Constrictor,R,EN,Kev Walker
F17,2,Fortune's Favor,R,EN,Grzegorz Rutkowski
F17,3,Incendiary Flow,R,EN,Slawomir Maniak
F17,4,Servo Exhibition,R,EN,Vincent Proce
F17,5,Unlicensed Disintegration,R,EN,Florian de Gesincourt
F17,6,Aether Hub,R,EN,Jonas De Ro
F17,7,Reverse Engineer,R,EN,Jason Kang
F17,8,Fatal Push,R,EN,Alex Konstad
F17,9,Renegade Rallier,R,EN,David Palumbo
PDOM,60,Opt,C,EN,Tyler Jacobson
PDOM,81,Cast Down,U,EN,Bastien L. Deharme
PDOM,204,"Shanna, Sisay's Legacy",U,EN,Magali Villeneuve
PM19,29,Militia Bugler,U,EN,David Gaillet
PM19,110,Murder,U,EN,Tyler Jacobson
PM19,180,Elvish Rejuvenator,C,EN,Winona Nelson
PGRN,6,Conclave Tribunal,U,EN,Seb McKinnon
PGRN,54,Sinister Sabotage,U,EN,Mathias Kollros
PGRN,206,Thought Erasure,U,EN,Anna Steinbauer
PRNA,107,Light Up the Stage,U,EN,Dmitry Burmak
PRNA,178,Growth Spiral,C,EN,Seb McKinnon
PRNA,192,Mortify,U,EN,Anthony Palumbo
PWAR,41,Augur of Bolas,U,EN,Alex Konstad
PWAR,171,Paradise Druid,U,EN,Nils Hamm
PWAR,193,Dovin's Veto,U,EN,Izzy
PMDA,4,Earthquake,R,JA,Sansyu
PMDA,3,Serra Angel,R,JA,Mikio Masuda
PMDA,2,Pouncing Jaguar,R,JA,Nablange
